loggingSample(N),Run RotationX (rad/s),Run RotationY,Run RotationZ,Walk RotationX,Walk RotationY,Walk RotationZ,Static RotationX,Static RotationY,Static RotationZ,Hybrid RotationX,Hybrid RotationY,Hybrid RotationZ
39,-0.116950589,0.067306337,0.251256998,0.085005439,0.117880298,0.198728276,-0.063036757,0.041494713,0.011776498,-0.031660636,0.075560449,0.153920591
40,0.279557346,0.13105176,0.196703475,0.099699696,0.128877822,0.209486116,-0.061810371,0.047540089,0.005769739,0.105815557,0.10248989,0.137319777
41,0.604723989,0.189878858,0.121187678,0.08619241,0.120369555,0.208376376,-0.053154299,0.042643068,0.002030128,0.212587367,0.117630494,0.110531394
42,0.817674877,0.265952055,0.062660718,0.062913452,0.096035453,0.203662049,-0.044598361,0.045160288,0.01762773,0.278663323,0.135715932,0.094650166
43,0.876478539,0.337670717,0.063651681,0.047145142,0.050961984,0.190304431,-0.044598361,0.045160288,0.01762773,0.29300844,0.144597663,0.090527947
44,0.781231914,0.410908978,0.089226017,0.026386067,0.020492226,0.177086364,-0.042130676,0.045150434,0.016395219,0.255162435,0.158850546,0.094235867
45,0.612103874,0.479361007,0.115570539,0.019117236,0.003389671,0.163800919,-0.048267931,0.040290964,0.016433036,0.194317726,0.174347214,0.098601498
46,0.447705609,0.573498691,0.166130386,0.021624335,-0.002724414,0.158914817,-0.05562944,0.041457961,0.006873086,0.137900168,0.204077413,0.11063943
47,0.348464509,0.691925204,0.220951823,0.021624335,-0.002724414,0.158914817,-0.053183061,0.046314236,0.005669337,0.105635261,0.245171675,0.128511992
48,0.331710829,0.8236084,0.268930801,0.003123089,-0.002661297,0.16634983,-0.048275387,0.05358653,0.002041579,0.09551951,0.291511211,0.14577407
49,0.365442427,0.948016905,0.32958536,-0.03512816,0.016815732,0.162054151,-0.044642037,0.070592411,-0.001515339,0.095224077,0.345141683,0.163374724
50,0.422899328,1.015100867,0.369149014,-0.0832118,0.016946759,0.17583814,-0.043412455,0.073009762,-0.003926032,0.098758358,0.368352463,0.180353707
51,0.50912343,1.029490992,0.349009125,-0.128806449,0.01703198,0.182360222,-0.049540123,0.06692657,-0.005101285,0.110258953,0.371149847,0.175422687
52,0.632753759,0.952507793,0.31225404,-0.163263493,0.006149239,0.187491867,-0.058066233,0.04986849,-0.011138139,0.137141344,0.336175174,0.162869256
53,0.793474998,0.823324773,0.300113754,-0.168164774,-0.008379104,0.198311758,-0.061711301,0.04133519,-0.014766163,0.187866308,0.285426953,0.161219783
54,0.939084396,0.74664118,0.317383554,-0.161991301,-0.005995841,0.191024284,-0.065375545,0.030419159,-0.009967413,0.237239183,0.257021499,0.166146808
55,0.939084396,0.74664118,0.317383554,-0.155700648,-0.020715931,0.171577349,-0.064127854,0.026768231,-0.0100023,0.239751965,0.250897827,0.159652868
56,1.020341169,0.729708802,0.347756907,-0.145627507,-0.052493036,0.148372161,-0.066621105,0.026821228,-0.001534513,0.269364186,0.234678998,0.164864852
57,0.998381276,0.678659998,0.351312227,-0.124438066,-0.080711624,0.11180403,-0.051902346,0.03898495,0.000789361,0.274013621,0.212311108,0.154635206
58,0.908856186,0.608061729,0.328955522,-0.124438066,-0.080711624,0.11180403,-0.038391864,0.043865193,0.005495167,0.248675419,0.190405099,0.148751573
59,0.805442445,0.589975935,0.338407347,-0.084804903,-0.111311345,0.087080574,-0.028581844,0.049965962,0.01024811,0.230685233,0.176210184,0.145245344
60,0.693107381,0.588102668,0.413163344,-0.031646343,-0.134640903,0.059842029,-0.021285315,0.06460669,0.018695657,0.213391908,0.172689485,0.163900343
61,0.521575572,0.569513537,0.530663609,0.035010981,-0.159108162,0.04812625,-0.021285315,0.06460669,0.018695657,0.178433746,0.158337355,0.199161839
62,0.282259123,0.54382069,0.669353049,0.136160502,-0.178789722,0.028831116,-0.023770044,0.064645306,0.024751685,0.13154986,0.143225425,0.240978617
63,-0.018602447,0.496390324,0.824255282,0.201522199,-0.178996916,0.00521367,-0.027499269,0.074367176,0.022437399,0.051806828,0.130586861,0.283968784
64,-0.252832258,0.410045315,0.992678915,0.244631054,-0.173004004,-0.002451706,-0.041002294,0.056191367,0.032123049,-0.016401166,0.097744226,0.340783419
65,-0.374688656,0.286867457,1.123498714,0.259393488,-0.162121529,-0.010987936,-0.053262955,0.05007169,0.023779099,-0.056186041,0.058272539,0.378763292
66,-0.379124417,0.144761447,1.160092945,0.264262812,-0.149954345,-0.009763415,-0.050735616,0.049961168,0.005664277,-0.055199074,0.014922757,0.385331269
67,-0.323912827,-0.028483307,1.084927353,0.244486178,-0.138948299,-0.00345625,-0.052023787,0.065755844,0.002153432,-0.043816812,-0.033891921,0.361208178
68,-0.304271747,-0.206771289,0.973942778,0.20499576,-0.135155425,0.013873738,-0.049572081,0.064565411,0.006943127,-0.049616023,-0.092453768,0.331586548
69,-0.380029625,-0.249979214,0.855134634,0.147015813,-0.130111665,0.033822412,-0.049589125,0.069424349,0.00576601,-0.094200979,-0.10355551,0.298241019
70,-0.380029625,-0.249979214,0.855134634,0.068026455,-0.11768136,0.064893513,-0.048330781,0.063340357,0.005716742,-0.120111317,-0.101440072,0.30858163
71,-0.538834188,-0.154557086,0.713920784,-0.017099092,-0.111319867,0.097201119,-0.054409446,0.04992921,-0.000325172,-0.203447575,-0.071982581,0.270265577
72,-0.739894061,0.026074744,0.574868888,-0.073995398,-0.083084234,0.13053777,-0.060568006,0.049935868,-0.000258593,-0.291485822,-0.002357874,0.235049355
73,-1.002298786,0.136329347,0.4553598,-0.114794227,-0.059839898,0.145584364,-0.051944957,0.053547381,-0.005153749,-0.389679323,0.04334561,0.198596805
74,-1.360003664,0.069081333,0.337045407,-0.143221608,-0.040323188,0.149623314,-0.044584512,0.058419901,-0.002793123,-0.515936595,0.029059349,0.161291866
75,-1.742741458,-0.146864812,0.166280588,-0.155577077,-0.025754632,0.142607483,-0.044584512,0.058419901,-0.002793123,-0.647634349,-0.038066514,0.102031649
76,-2.059771345,-0.408281504,-0.070573503,-0.167882479,-0.024553546,0.137924314,-0.047075633,0.06088439,0.002071407,-0.758243152,-0.123983553,0.023140739
77,-2.210578701,-0.675816808,-0.285143593,-0.203642607,-0.012371182,0.13476474,-0.052003547,0.062099058,0.000925981,-0.822074952,-0.208696311,-0.049817624
78,-2.199195285,-0.881276224,-0.466134151,-0.241821419,-0.007506918,0.127971016,-0.056915481,0.054833954,0.005759618,-0.832644062,-0.277983063,-0.110801172
79,-2.041836819,-0.996525585,-0.590294982,-0.271392094,-0.001421063,0.12350303,-0.053200105,0.046342998,0.010492855,-0.788809673,-0.317201217,-0.152099699
80,-1.757041834,-1.027476577,-0.632138835,-0.276271005,-0.002704174,0.11149031,-0.0421882,0.06215312,0.011672369,-0.69183368,-0.322675877,-0.169658719
81,-1.365794176,-0.9861065,-0.563776023,-0.260320534,0.014288392,0.107800234,-0.028661739,0.063383767,0.016356603,-0.55159215,-0.302811447,-0.146539729
82,-0.866633099,-0.886086159,-0.43353413,-0.228284304,0.010611365,0.10863833,-0.007788681,0.070717846,0.025820412,-0.367568695,-0.268252316,-0.099691796
83,-0.293610847,-0.738981396,-0.350840048,-0.176621642,0.026370355,0.108172543,-0.004098871,0.071930383,0.025787655,-0.158110453,-0.213560219,-0.072293283
84,-0.293610847,-0.738981396,-0.350840048,-0.096591255,0.037203828,0.102548214,-0.000372843,0.061006363,0.03050651,-0.130191648,-0.213590402,-0.072595108
85,0.351105299,-0.562194904,-0.37847354,-0.096591255,0.037203828,0.102548214,-0.000372843,0.061006363,0.03050651,0.084713734,-0.154661571,-0.081806272
86,1.275361481,-0.193612344,-0.631074103,-0.009127985,0.043127231,0.09078583,-0.00032171,0.04642955,0.034037862,0.421970595,-0.034685188,-0.168750137
87,1.474462067,-0.036110334,-0.704649255,0.094412523,0.038055773,0.073962109,-0.008840363,0.030566431,0.024390561,0.520011409,0.01083729,-0.202098862
88,1.467828399,0.102358064,-0.741145215,0.144993675,0.033034383,0.056505088,-0.019930032,0.030585606,0.025716282,0.530964014,0.055326018,-0.219641282
89,1.30739052,0.20449695,-0.776192414,0.15251604,0.018312961,0.037044837,-0.023659257,0.0354773,0.02940263,0.478749101,0.086095737,-0.236581649
90,1.097813058,0.319754567,-0.863686577,0.137907003,0.002341451,0.008170046,-0.021229921,0.040362337,0.033022399,0.404830047,0.120819452,-0.274164711
91,0.90666547,0.472503367,-0.984922192,0.118267788,-0.002582467,-0.004910336,-0.029824208,0.042740007,0.022277076,0.331703017,0.170886969,-0.322518484
92,0.761407609,0.599310581,-1.164683702,0.078908398,-0.012293684,-0.008159393,-0.034767035,0.046394929,0.022351911,0.268516324,0.211137275,-0.383497061
93,0.61555613,0.619986032,-1.394498525,0.071464863,-0.00495055,-0.002006958,-0.031049529,0.040315465,0.02348189,0.218657155,0.218450316,-0.457674531
94,0.440647433,0.474409658,-1.561067267,0.094773647,0.009672867,0.006267483,-0.02365393,0.039090944,0.023394805,0.17058905,0.174391156,-0.510468326
95,0.201606621,0.234854323,-1.586416566,0.097125219,0.025557025,0.018393122,-0.027348001,0.033055422,0.030634076,0.09046128,0.097822257,-0.512463123
96,-0.180704801,-0.047356597,-1.44527462,0.09215363,0.02805294,0.028107801,-0.027348001,0.033055422,0.030634076,-0.038633057,0.004583922,-0.462177581
97,-0.680655239,-0.270421904,-1.197611025,0.068709556,0.036601154,0.029617014,-0.027348001,0.033055422,0.030634076,-0.213097895,-0.066921776,-0.379119978
98,-1.162463424,-0.414454178,-0.953297421,0.046600525,0.029275597,0.0213724,-0.033428797,0.022062958,0.022194785,-0.383097232,-0.121038541,-0.303243412
99,-1.396652756,-0.522603286,-0.769326785,0.014534468,0.033002957,0.028975459,-0.038391864,0.034204842,0.017496436,-0.473503384,-0.151798496,-0.24095163
100,-1.293233689,-0.607167705,-0.652772475,0.014534468,0.033002957,0.028975459,-0.04204865,0.024483771,0.018684738,-0.44024929,-0.183226992,-0.201704093
101,-1.293233689,-0.607167705,-0.652772475,-0.008877647,0.03425198,0.030441529,-0.044517401,0.025702967,0.01871856,-0.448876246,-0.182404253,-0.201204129
102,-0.86449458,-0.642824237,-0.643144349,-0.028634042,0.041601239,0.035521243,-0.045788528,0.036638705,0.016384832,-0.312972383,-0.188194764,-0.197079425
103,-0.146138035,-0.619902675,-0.756881034,-0.038581481,0.06592096,0.032153942,-0.047021305,0.033019203,0.021200094,-0.07724694,-0.173654171,-0.234508999
104,0.718390634,-0.517971516,-0.856058485,-0.027538684,0.085301582,0.020090355,-0.051928978,0.030577084,0.018827217,0.212974324,-0.13403095,-0.272380304
105,1.397725743,-0.383707451,-0.868640057,-0.009064069,0.100981476,0.000690025,-0.05931925,0.035415249,0.012906478,0.443114141,-0.082436909,-0.285014518
106,1.632457561,-0.2852645,-0.844071597,-0.004073305,0.105698467,-0.023452063,-0.07157352,0.026869698,0.005754026,0.518936912,-0.050898778,-0.287256545
107,1.188755748,-0.318114592,-0.716479549,-0.011399661,0.120089124,-0.059462262,-0.071498951,0.014668425,-0.000347276,0.368619045,-0.061119014,-0.258763029
108,0.0901251,-0.516266827,-0.473053576,-0.029802903,0.129647209,-0.091763743,-0.067778249,0.014621287,-0.0076225,-0.002485351,-0.123999444,-0.190813273
109,-1.096727554,-0.754950509,-0.309700068,-0.043321908,0.144102049,-0.118060328,-0.065327608,0.014640195,-0.004031493,-0.401792357,-0.198736088,-0.14393063
110,-1.78792678,-0.864945187,-0.105127219,-0.062980298,0.151285926,-0.140715839,-0.055488826,0.021899973,-0.008918394,-0.635465301,-0.230586429,-0.084920484
111,-1.842417985,-0.787442406,0.234743269,-0.075200479,0.147513025,-0.16351596,-0.040740239,0.02435301,-0.003034406,-0.652786234,-0.205192124,0.022730968
112,-1.51179346,-0.563551518,0.504992601,-0.075165325,0.151076335,-0.177964941,-0.030921697,0.030439399,-0.000693221,-0.539293494,-0.127345261,0.108778146
113,-1.51179346,-0.563551518,0.504992601,-0.051785167,0.157126504,-0.179387868,-0.027307521,0.04506255,0.004176636,-0.530295383,-0.120454155,0.109927123
114,-1.038051723,-0.306406537,0.664163614,0.002415487,0.146191032,-0.167979685,-0.022405174,0.048721201,0.006556703,-0.35268047,-0.037164768,0.167580211
115,-0.572653937,-0.070249662,0.770246907,0.084905038,0.132878156,-0.142421594,-0.024884577,0.047543284,0.01260554,-0.170877825,0.036723926,0.213476951
116,-0.173559806,0.13664573,0.853964974,0.123208485,0.107275325,-0.145397144,-0.023691215,0.057267018,0.01144387,-0.024680845,0.100396024,0.2400039
117,0.173209867,0.231425769,0.895388314,0.092701175,0.063355271,-0.171852454,-0.023691215,0.057267018,0.01144387,0.080739942,0.117349353,0.244993243
118,0.400640894,0.300744657,0.93071701,0.017787253,0.035290879,-0.198940797,-0.023705063,0.053667756,0.019863453,0.131574361,0.129901097,0.250546555
119,0.556602798,0.365360934,0.981259813,0.017787253,0.035290879,-0.198940797,-0.023722107,0.058526693,0.018686336,0.183555981,0.153059502,0.267001784
120,0.646110844,0.416667265,1.032442573,-0.046057241,0.006033924,-0.220126776,-0.026148247,0.050013633,0.018662634,0.191301785,0.157571607,0.27699281
121,0.693803531,0.469120353,1.064791192,-0.085399587,-0.00853623,-0.222198715,-0.03231959,0.054872037,0.016346216,0.192028118,0.17181872,0.286312898
122,0.709530297,0.517886561,1.085405657,-0.091448424,-0.036488236,-0.21867988,-0.035979573,0.053609166,0.007937818,0.1940341,0.17833583,0.291554532
123,0.695649102,0.586084524,1.095601836,-0.076644445,-0.058279552,-0.198469151,-0.027375698,0.059668124,0.005468801,0.197209653,0.195824365,0.300867162
124,0.676746251,0.670145872,1.11318003,-0.038639272,-0.039907469,-0.171038858,-0.019940685,0.052339371,0.001728125,0.206055431,0.227525925,0.314623099
